,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
68,TE2,2021-04-14T23:37:02,68,213,C,118,0.414906103,0.440140845,0.448943662,0.458333333,0.457746479,0.468309859,0.458333333,0.422535211,0.381455399,0.322769953,0.311619718,0.289319249,0.272300469,0.25528169,0.214788732,0.216549296,0.238262911,0.248239437,0.244131455,0.28286385,0.323943662,0.33157277,0.362089202,0.376173709
69,CR31,2021-04-14T23:37:15,69,92,C,1,0.944293478,0.94701087,0.948369565,0.948369565,0.95923913,0.96875,0.925271739,0.847826087,0.823369565,0.800271739,0.804347826,0.864130435,0.917119565,0.911684783,0.885869565,0.864130435,0.866847826,0.929347826,0.815217391,0.903532609,0.957880435,0.964673913,0.972826087,0.967391304
70,J1,2021-04-14T23:36:38,70,368,C,122,0.665081522,0.680366848,0.686820652,0.688179348,0.683084239,0.680366848,0.671195652,0.615828804,0.47826087,0.367527174,0.341711957,0.339673913,0.32642663,0.346127717,0.341372283,0.357336957,0.370923913,0.379415761,0.402513587,0.452785326,0.509171196,0.544157609,0.583899457,0.614809783
71,J2,2021-04-14T23:36:12,71,200,C,70,0.63125,0.636875,0.641875,0.6425,0.636875,0.634375,0.6,0.54,0.4175,0.319375,0.296875,0.288125,0.266875,0.28125,0.296875,0.3075,0.305625,0.315,0.37625,0.43375,0.51125,0.540625,0.558125,0.58625
72,J3,2021-04-14T23:35:53,72,308,C,109,0.645292208,0.665178571,0.673295455,0.679788961,0.678165584,0.67775974,0.663961039,0.588474026,0.431818182,0.343344156,0.32224026,0.301136364,0.29099026,0.291396104,0.292207792,0.310470779,0.312905844,0.308847403,0.355113636,0.424107143,0.480113636,0.515016234,0.57711039,0.631087662
73,T37,2021-04-14T23:33:40,73,1174,C,402,0.68068569,0.693994889,0.705174617,0.707729983,0.714544293,0.711030664,0.70112862,0.636392675,0.535988075,0.452938671,0.408006814,0.381281942,0.384263203,0.4185477,0.390971039,0.383517888,0.408326235,0.416205281,0.452938671,0.537052811,0.619037479,0.633517888,0.642568143,0.662478705
74,KB3,2021-04-14T23:36:47,74,149,C,56,0.630872483,0.640939597,0.640100671,0.645973154,0.647651007,0.666107383,0.649328859,0.625838926,0.61409396,0.575503356,0.598154362,0.711409396,0.851510067,0.939597315,0.756711409,0.619127517,0.583053691,0.614932886,0.707214765,0.806208054,0.932885906,0.908557047,0.80704698,0.713926174
75,KBM,2021-04-14T23:36:01,75,239,C,133,0.423117155,0.436192469,0.437761506,0.440899582,0.442991632,0.442991632,0.433577406,0.405857741,0.349895397,0.27458159,0.2458159,0.257322176,0.278242678,0.361924686,0.299686192,0.248430962,0.244769874,0.249476987,0.274058577,0.312761506,0.343096234,0.349372385,0.368723849,0.387029289
76,J4,2021-04-14T23:36:35,76,172,C,21,0.858284884,0.861918605,0.86627907,0.874273256,0.875726744,0.886627907,0.851744186,0.747093023,0.65625,0.612645349,0.601744186,0.605377907,0.564680233,0.569767442,0.554505814,0.543604651,0.542151163,0.529796512,0.564680233,0.622093023,0.704215116,0.753633721,0.766715116,0.810319767
77,TGM1,2021-04-14T23:36:52,77,388,C,203,0.471971649,0.485180412,0.491301546,0.491945876,0.492590206,0.491623711,0.480992268,0.433634021,0.362757732,0.290914948,0.249677835,0.211984536,0.206829897,0.207474227,0.199097938,0.203286082,0.213917526,0.226804124,0.242912371,0.273518041,0.322809278,0.354381443,0.40560567,0.43556701
78,TG3,2021-04-14T23:36:50,78,208,C,74,0.663461538,0.681490385,0.686298077,0.692307692,0.673076923,0.671274038,0.658052885,0.616586538,0.531850962,0.435096154,0.400841346,0.356370192,0.352764423,0.355769231,0.338942308,0.343149038,0.344951923,0.359375,0.376201923,0.430889423,0.481370192,0.516826923,0.593149038,0.616586538
79,TG6,2021-04-14T23:36:50,79,176,C,58,0.688210227,0.705965909,0.723011364,0.722301136,0.692471591,0.685369318,0.659090909,0.576704545,0.5078125,0.461647727,0.404829545,0.384232955,0.372159091,0.487215909,0.395596591,0.372869318,0.371448864,0.370738636,0.419034091,0.490056818,0.551846591,0.6171875,0.644176136,0.6484375
80,TG7,2021-04-14T23:36:51,80,362,C,144,0.664709945,0.67679558,0.69198895,0.701657459,0.686809392,0.721685083,0.758632597,0.806975138,0.818370166,0.796270718,0.76070442,0.686464088,0.717541436,0.832527624,0.69820442,0.60359116,0.567679558,0.537983425,0.549033149,0.591505525,0.632941989,0.642955801,0.657803867,0.681629834
81,CR30,2021-04-14T23:36:56,81,54,C,0,0.967592593,0.944444444,0.93287037,0.939814815,0.923611111,0.918981481,0.912037037,0.851851852,0.810185185,0.768518519,0.763888889,0.849537037,0.900462963,0.944444444,0.87962963,0.844907407,0.87037037,0.884259259,0.895833333,0.912037037,0.960648148,0.956018519,0.967592593,0.962962963
