Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
BLK 101-109 LENGKONG TIGA,H,LT3,1.325035931,103.9104926,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 37 CIRCUIT ROAD,C,M16,1.328431167,103.8866723,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 65 & 80 CIRCUIT RD,C,M20,1.327590453,103.8872656,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 53 TO 56/68/70/71/72 PIPIT RD/CIRCUIT RD,C,M25,1.324225444,103.8881777,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 120 TO 124 PAYA LEBAR WAY,Y,M32,1.322312871,103.882793,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 120 TO 124 PAYA LEBAR WAY,C,M32,1.322312871,103.882793,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 120 TO 124 PAYA LEBAR WAY,H,M32,1.322312871,103.882793,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 125 TO 126 ALJUNIED ROAD,C,M33,1.323245792,103.8821727,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 41 TO 42 CIRCUIT ROAD,C,M35,1.327281852,103.885915,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 43 CIRCUIT ROAD,C,M36,1.326703518,103.885456,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 38 TO 40 CIRCUIT ROAD,C,M37,1.327677409,103.8856051,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 63 TO 64 CIRCUIT ROAD,C,M38,1.327153049,103.8874767,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 157A MEI LING STREET,H,MLM,1.293365005,103.8034545,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 157A MEI LING STREET,C,MLM,1.293365005,103.8034545,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 157A MEI LING STREET,Y,MLM,1.293365005,103.8034545,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 28A BALAM ROAD,C,MM1,1.3304551,103.8870636,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 52A PIPIT ROAD,C,MM2,1.324339688,103.8860942,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 66A CIRCUIT ROAD,C,MM3,1.326266278,103.8880186,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 31A CIRCUIT ROAD,C,MM4,1.329329657,103.8854866,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLKS 108/112 MCNAIR ROAD,C,MN1,1.322029474,103.8592002,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLKS 119/124 MCNAIR ROAD,C,MN2,1.318049689,103.8563684,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 113 MCNAIR ROAD,L,MNM,1.321042155,103.8598354,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 113 MCNAIR ROAD,C,MNM,1.321042155,103.8598354,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 1 TO 4 MARINE TERRACE,Y,MP1,1.30481836,103.9175222,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 1 TO 4 MARINE TERRACE,C,MP1,1.30481836,103.9175222,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 1 TO 4 MARINE TERRACE,H,MP1,1.30481836,103.9175222,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 5 TO 8 MARINE TERRACE,H,MP2,1.304224614,103.9166577,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 5 TO 8 MARINE TERRACE,Y,MP2,1.304224614,103.9166577,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 5 TO 8 MARINE TERRACE,C,MP2,1.304224614,103.9166577,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 52/57 MARINE TERRACE,Y,MP5,1.306109647,103.9161652,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 52/57 MARINE TERRACE,H,MP5,1.306109647,103.9161652,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 52/57 MARINE TERRACE,C,MP5,1.306109647,103.9161652,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 50/50A/53 MARINE TERRACE,H,MP6,1.30549658,103.9163814,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 50/50A/53 MARINE TERRACE,C,MP6,1.30549658,103.9163814,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 50/50A/53 MARINE TERRACE,Y,MP6,1.30549658,103.9163814,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 54/55/56/58/59 MARINE TERRACE,H,MP7,1.305581278,103.9146888,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
