Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,C,L0116,1.312971928,103.8805159,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 25/25A GEYLANG OFF STREET,C,L0117,1.315411409,103.8828291,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 25/25A GEYLANG OFF STREET,Y,L0117,1.315411409,103.8828291,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 9/11 GEYLANG OFF STREET,Y,L0123,1.313243154,103.8764659,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 9/11 GEYLANG OFF STREET,C,L0123,1.313243154,103.8764659,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 37 GEYLANG OFF STREET,Y,L0124,1.315091678,103.8894333,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 37 GEYLANG OFF STREET,C,L0124,1.315091678,103.8894333,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 31 GEYLANG OFF STREET,C,L0125,1.315047454,103.8871418,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
LORONG 31 GEYLANG OFF STREET,Y,L0125,1.315047454,103.8871418,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
MACKENZIE ROAD A OFF STREET,C,M0040,1.305166863,103.8495557,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
MACKENZIE ROAD B OFF STREET,C,M0059,1.305814497,103.8475647,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
MACKENZIE ROAD B OFF STREET,H,M0059,1.305814497,103.8475647,URA,7am-7pm: $1.20 / 30 mins,Same as weekdays,Same as weekdays,,,,,,,N
MINBU ROAD OFF STREET,C,M0076,1.3252001,103.8489084,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
MINBU ROAD OFF STREET,Y,M0076,1.3252001,103.8489084,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
MARITIME SQUARE D OFF STREET,C,M0078,1.266557219,103.820371,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
MARITIME SQUARE D OFF STREET,Y,M0078,1.266557219,103.820371,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
MARINA VIEW OFF STREET,C,M0084,1.274649688,103.8494728,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-10.30pm: $0.60 / 30 min,  10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
MARGARET DRIVE OFF STREET,C,M0088,1.300419997,103.8030164,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
NEIL ROAD OFF STREET,C,N0006,1.279338311,103.8419127,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-10.30pm: $0.60 / 30 min,  10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
NORTH BRIDGE ROAD MARKET OFF STREET,C,N0012,1.306082574,103.8635558,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap $5)",Same as weekdays,Same as weekdays,,,,,,,N
NORTH BRIDGE ROAD OFF  STREET,C,N0013,1.300400358,103.8566466,URA,"7am-11am: $0.60 / 30 min, 11am-5pm: $0.75 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)","7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as Saturday,,,,,,,N
OUTRAM ROAD OFF STREET,C,O0028,1.284380404,103.8354304,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
OUTRAM ROAD OFF STREET,Y,O0028,1.284380404,103.8354304,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,C,P0013,1.275133029,103.8481916,URA,"7am-11am: $1.20 / 30 min, 11am-5pm: $1.50 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)","7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)","7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
PASIR RIS CLOSE OFF STREET,C,P0033,1.37693861,103.9564925,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PEARL BANK OFF STREET,Y,P0048,1.28334836,103.8405378,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
PEARL BANK OFF STREET,C,P0048,1.28334836,103.8405378,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG FOOD CENTRE OFF STREET,C,P0054,1.27619959,103.7913102,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG FOOD CENTRE OFF STREET,Y,P0054,1.27619959,103.7913102,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
PENHAS ROAD / LAVENDER STREET OFF STREET,C,P0075,1.309994181,103.8627647,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG ROAD OFF  STREET,C,P0093,1.276704372,103.7956602,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,Y,P0094,1.278902209,103.7856025,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,C,P0094,1.278902209,103.7856025,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PENANG ROAD OFF STREET,C,P0096,1.299808749,103.8421253,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.70 / 30 min, 10.30pm-7am: $0.70 / 30 min (cap at $5.60)",Same as weekdays,"7am-10.30pm: $0.70 / 30 min, 10.30pm-7am: $0.70 / 30 min (cap at $5.60)",,,,,,,N
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,Y,P0106,1.291597869,103.768125,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,C,P0106,1.291597869,103.768125,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR RIS PARK CAR PARK E OFF STREET,C,P0109,1.384591857,103.9438088,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PAHANG STREET OFF STREET,C,P0111,1.30175965,103.8608657,URA,"7am-11am: $0.60 / 30 min, 11am-5pm: $0.75 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,C,P0113,1.275357485,103.7924744,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,Y,P0113,1.275357485,103.7924744,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
PECK SEAH STREET OFF STREET,C,P0117,1.277473298,103.8452673,URA,"7am-11am: $1.20 / 30 min, 11am-5pm: $1.50 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)","7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)","7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
PECK SEAH STREET OFF STREET,Y,P0117,1.277473298,103.8452673,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
QUEEN STREET OFF STREET,Y,Q0006,1.299922682,103.8533633,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
QUEEN STREET OFF STREET,C,Q0006,1.299922682,103.8533633,URA,"7am-5pm: $1.50 / 30 min, 5pm-10.30pm: $0.75 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-10.30pm: $0.75 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),C,Q0008,1.304678941,103.8021651,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
RACE COURSE ROAD / NORTHUMBERLAND ROAD,Y,R0038,1.310918171,103.8522501,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
RACE COURSE ROAD / NORTHUMBERLAND ROAD,C,R0038,1.310918171,103.8522501,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
SEMBAWANG HILLS FOOD CENTRE OFF STREET,C,S0020,1.372265468,103.8288232,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
Serangoon Rd/Lavender  St Off Street,Y,S0049,1.314887458,103.8585876,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
Serangoon Rd/Lavender  St Off Street,C,S0049,1.314887458,103.8585876,URA,08.30am-10pm: $0.60 / 30 min,Same as weekdays,Same as weekdays,,,,,,,N
SERANGOON GARDEN MARKET OFF STREET,C,S0055,1.362799867,103.8663259,URA,"7am-2pm: $0.75 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
SIN MING DRIVE OFF STREET,C,S0106,1.356692686,103.8360632,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
SHREWSBURY ROAD OFF STREET,C,S0108,1.318602475,103.850678,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
SHREWSBURY ROAD OFF STREET,Y,S0108,1.318602475,103.850678,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
SEAH IM ROAD OFF STREET,C,S0112,1.268039517,103.817596,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
SEAH IM ROAD OFF STREET,Y,S0112,1.268039517,103.817596,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
SULTAN GATE / ALIWAL STREET OFF STREET,C,S0150,1.302454561,103.8605882,URA,08.30am-10pm: $1.20 / 30 min,Same as weekdays,Same as weekdays,,,,,,,N
SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,C,S0166,1.453699411,103.8331434,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,Y,S0166,1.453699411,103.8331434,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
SPOONER ROAD OFF STREET,C,S0171,1.275688922,103.8350591,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
TIONG BAHRU PARK OFF STREET,C,T0017,1.286931665,103.8246409,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
TEMBELING ROAD OFF STREET,C,T0103,1.312860112,103.9008128,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
TEMBELING ROAD OFF STREET,Y,T0103,1.312860112,103.9008128,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
TANJONG KATONG COMPLEX,C,T0129,1.316890182,103.8952293,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
TANJONG KATONG ROAD OFF STREET,C,T0140,1.306839561,103.8960811,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
TANJONG KATONG ROAD OFF STREET,Y,T0140,1.306839561,103.8960811,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),C,T0141,1.303925092,103.8968854,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),Y,T0141,1.303925092,103.8968854,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
UPPER EAST COAST ROAD OFF STREET,C,U0036,1.312238716,103.9260529,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,C,U0042,1.332124201,103.9464677,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
VERDUN ROAD OFF STREET,C,V0007,1.310324225,103.8561286,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
WEST COAST PARK 1 OFF STREET,C,W0029,1.289622809,103.7714261,URA,"7am-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
WARNA ROAD OFF STREET,C,W0055,1.311080206,103.7961969,URA,"7am-11am: $0.60 / 30 min, 11am-5pm: $0.75 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,Same as weekdays,,,,,,,N
YAN KIT ROAD / CANTONMENT ROAD OFF ST,Y,Y0019,1.274548916,103.8414296,URA,"7am-10.30pm: $0.65 / 930 min, 10.30pm-7am: $0.65 / 150 min (per minute charging)",Same as weekdays,Same as weekdays,,,,,,,N
YAN KIT ROAD / CANTONMENT ROAD OFF ST,C,Y0019,1.274548916,103.8414296,URA,"7am-5pm: $1.20 / 30 min, 5pm-10.30pm: $0.60 / 30 min, 10.30pm-7am: $0.60 / 30 min (cap at $5)",Same as weekdays,"7am-10.30pm: $0.60 / 30 min,  10.30pm-7am: $0.60 / 30 min (cap at $5)",,,,,,,N
BLK 206/207 ANG MO KIO STREET 22,C,A2,1.366237056,103.8430464,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 217/220 ANG MO KIO AVENUE 1,C,A4,1.365691621,103.8411922,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 212/213 ANG MO KIO STREET 23,C,A7,1.368392487,103.8413018,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 209/210 ANG MO KIO STREET 22,C,A8,1.368756071,103.8433077,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 202/203 ANG MO KIO STREET 22,C,A9,1.36807437,103.8443922,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 204/209 NEW UPPER CHANGI ROAD,C,B6,1.326330497,103.9303395,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 211/218 BEDOK NORTH STREET 1,C,B7,1.32513124,103.9319217,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 201/203 BEDOK NORTH STREET 1,C,B8,1.325881496,103.9282762,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 402/403 BEDOK NORTH AVENUE 3,C,B9,1.330172709,103.9338152,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",H,C5,1.313102659,103.7695739,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",C,C5,1.313102659,103.7695739,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",Y,C5,1.313102659,103.7695739,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 328-334 CLEMENTI AVE 2,C,C6,1.314488114,103.7676912,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 349-355 CLEMENTI AVE 2,C,C7,1.314842819,103.7705785,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 335/338 CLEMENTI AVE 2,C,C8,1.316674657,103.7686311,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 340/342/343/346-348 CLEMENTI AVE 5,H,C9,1.317649249,103.7703123,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 340/342/343/346-348 CLEMENTI AVE 5,C,C9,1.317649249,103.7703123,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 340/342/343/346-348 CLEMENTI AVE 5,Y,C9,1.317649249,103.7703123,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 269/269A/269B CHENG YAN COURT CAR PARK,C,CY,1.300626028,103.8536649,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 87 ZION RD,C,H3,1.291008687,103.8325154,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 22 HAVELOCK RD,C,H4,1.288093897,103.8293714,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 77/79 GANGES AVENUE,C,H6,1.291369664,103.8289836,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLKS 4-8 TAMAN HO SWEE,Y,H8,1.287726965,103.8309221,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLKS 4-8 TAMAN HO SWEE,H,H8,1.287726965,103.8309221,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLKS 4-8 TAMAN HO SWEE,C,H8,1.287726965,103.8309221,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 101/107 JURONG EAST ST 13,C,J1,1.336429723,103.7380983,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 108/110 JURONG EAST ST 13,C,J2,1.33860776,103.7367713,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 111/116 JURONG EAST ST 13,C,J3,1.339494837,103.7354848,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 201/206 JURONG EAST ST 21,C,J4,1.337530169,103.7419026,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 207/208 JURONG EAST ST 21,C,J5,1.338314475,103.7424182,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 209/214 JURONG EAST ST 21,C,J6,1.3390681,103.7388514,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
